Monster,Source,CR,Size,Type,Second Type,Elite,Legendary,NPC,Unique,AC,HP,STR,DEX,CON,INT,WIS,CHA,Proficiency Bonus,Maneuver DC,Variants,Base Creature
Rock Dragon,Gate Pass Gazette #7,9,Gargantuan,Beast,N/A,0,0,0,0,16,147,20,10,18,2,12,5,4,17,0,Triceratops
Flame-Spitting Statue,Monstrous Menagerie,4,Large,Construct,N/A,0,0,0,0,16,76,18,8,18,1,10,1,2,14,0,0
Rug of Smothering,Monstrous Menagerie,2,Large,Construct,N/A,0,0,0,0,16,76,18,8,18,1,10,5,2,14,0,0
Walking Statue,Monstrous Menagerie,3,Large,Construct,N/A,0,0,0,0,16,66,18,8,18,1,10,1,2,14,0,0
Limpocait,Planestrider's Journal,10,Large,Monstrosity,N/A,0,0,0,0,16,190,22,5,18,1,14,1,4,18,0,0
Nikola Tesla,Mythological Figures & Maleficent Monsters ,7,Medium,Humanoid,N/A,0,0,1,1,15,49,10,14,13,20,14,12,3,13,0,0
Grootslang,Mythological Figures & Maleficent Monsters ,11,Gargantuan,Monstrosity,N/A,0,0,1,1,15,145,24,13,18,19,14,9,4,19,0,0
Specter of Tamas Agrens,To Save A Kingdom,7,Medium,Undead,N/A,0,0,0,1,15,85,1,20,18,18,20,19,3,16,0,0
Scorpionfolk Imperator,Monstrous Menagerie,5,Large,Monstrosity,N/A,0,0,0,0,15,52,14,12,14,18,10,10,3,13,0,Scorpionfolk
Confucius,Mythological Figures & Maleficent Monsters ,5,Medium,Humanoid,N/A,0,0,1,1,15,90,9,14,10,16,16,16,3,13,0,0
Cursed Ghost,To Save A Kingdom,11,Medium,Undead,N/A,0,0,0,0,15,127,17,21,18,16,14,19,4,17,0,0
Crime Boss,Monstrous Menagerie,6,Medium,Humanoid,N/A,0,0,1,0,15,127,18,14,18,16,16,16,3,15,0,0
Goblinspeaker Yahret,To Save A Kingdom,3,Medium,Humanoid,N/A,0,0,1,1,15,65,10,15,14,16,15,11,2,12,0,0
Lord Pemberton,To Save A Kingdom,8,Medium,Undead,N/A,0,0,1,1,15,82,16,17,17,16,13,18,3,14,0,0
Wraith Lord,Monstrous Menagerie,13,Medium,Undead,N/A,0,0,0,0,15,171,14,20,20,16,18,18,5,18,0,0
Yobbo,Presents for Goblins,0.5,Small,Humanoid,N/A,0,0,0,0,15,11,8,14,10,16,8,8,2,12,0,0
Knight of the Club,Planestrider's Journal,5,Medium,Plant,N/A,0,0,0,0,15,84,16,14,15,15,16,17,3,14,0,0
Mariner Ghost Swarm,To Save A Kingdom,11,Huge,Undead,N/A,1,0,0,0,15,340,9,14,15,15,14,20,4,14,0,0
Shadow Elf Warmage,To Save A Kingdom,5,Medium,Humanoid,N/A,0,0,0,0,15,45,8,14,14,15,11,17,3,13,0,0
Bartl the Bloody,To Save A Kingdom,3,Medium,Humanoid,N/A,0,0,1,1,15,65,15,16,15,14,12,15,2,13,0,0
Cleopatra,Mythological Figures & Maleficent Monsters ,5,Medium,Humanoid,N/A,0,0,1,1,15,93,9,14,12,14,14,18,3,13,0,0
Elizabeth Báthory,Mythological Figures & Maleficent Monsters ,5,Medium,Humanoid,N/A,0,0,1,1,15,55,10,16,12,14,9,20,3,14,0,0
High Elf Spell Slinger,Gate Pass Gazette #26,1,Medium,Humanoid,N/A,0,0,0,0,15,22,11,14,10,14,13,12,2,12,0,Mounted Pistoleer
Bandit Captain,Monstrous Menagerie,3,Medium,Humanoid,N/A,0,0,1,0,15,65,14,16,14,14,12,14,2,13,1,0
Last Raven Rooker,Adventures in Zeitgeist,2,Medium,Humanoid,N/A,0,0,1,0,15,36,8,14,10,14,11,12,2,12,0,0
Faerie Dragon,Monstrous Menagerie,1,Tiny,Dragon,N/A,0,0,0,0,15,14,3,20,12,14,12,16,2,15,1,0
Faerie Dragon Familiar,Monstrous Menagerie,1,Tiny,Dragon,N/A,0,0,0,0,15,14,3,20,12,14,12,16,2,15,0,Faerie Dragon
Shadow Elf Priest,To Save A Kingdom,6,Medium,Humanoid,N/A,0,0,0,0,15,67,10,15,16,14,17,11,3,13,0,0
Sinbad,Mythological Figures & Maleficent Monsters ,5,Medium,Humanoid,N/A,0,0,1,1,15,78,11,16,14,14,14,14,3,14,0,0
Pirate Captain,Monstrous Menagerie,3,Medium,Humanoid,N/A,0,0,1,0,15,65,14,16,14,14,12,14,2,13,0,Bandit Captain
Arachne,Mythological Figures & Maleficent Monsters ,6,Medium,Monstrosity,N/A,0,0,1,1,15,97,18,17,15,13,11,12,3,15,0,0
Barbed Devil,Monstrous Menagerie,5,Medium,Fiend,N/A,0,0,0,0,15,102,18,16,18,12,14,14,3,15,0,0
Drona,Mythological Figures & Maleficent Monsters ,9,Medium,Humanoid,N/A,0,0,1,1,15,195,16,14,14,12,12,16,4,15,0,0
Dryad,Monstrous Menagerie,0.5,Medium,Fey,N/A,0,0,0,0,15,22,14,12,10,12,16,18,2,12,2,0
Knight of the Spade,Planestrider's Journal,5,Medium,Undead,N/A,0,0,0,0,15,82,16,133,17,12,14,11,3,72,0,0
Miremuck Goblin King,Presents for Goblins,3,Medium,Humanoid,N/A,0,0,1,1,15,62,12,16,10,12,8,18,2,13,0,0
Mykand,Gate Pass Gazette #13,0.5,Medium,Fey,N/A,0,0,0,0,15,22,14,12,10,12,16,18,2,12,0,Dryad
Nixie,Planestrider's Journal,0.5,Tiny,Fey,N/A,0,0,0,0,15,2,2,20,10,12,9,15,2,15,0,0
Naiad,Monstrous Menagerie,0.5,Medium,Fey,N/A,0,0,0,0,15,22,14,12,10,12,16,18,2,12,0,Dryad
Rangale,Adventures in Zeitgeist,8,Large,Fey,N/A,0,0,0,0,15,119,22,17,16,12,14,12,3,17,0,0
Rasputin,Mythological Figures & Maleficent Monsters ,6,Medium,Humanoid,N/A,0,0,1,1,15,110,10,12,18,12,12,15,3,12,0,0
Goblin Warlock,Monstrous Menagerie,1,Small,Humanoid,N/A,0,0,0,0,15,21,10,14,10,12,12,14,2,12,0,0
Minstrel,Monstrous Menagerie,2,Medium,Humanoid,N/A,0,0,1,0,15,32,10,16,14,12,12,16,2,13,1,0
Orcish Wildling Minstrel,Monstrous Menagerie,2,Medium,Humanoid,N/A,0,0,1,0,15,32,10,16,14,12,12,16,2,13,0,Minstrel
Grendel,Mythological Figures & Maleficent Monsters ,9,Large,Giant,N/A,0,0,1,1,15,114,22,15,18,11,14,7,4,18,0,0
Mounted Pistoleer Squad,Gate Pass Gazette #26,6,Large,Humanoid,N/A,0,0,0,0,15,125,11,14,10,11,13,12,3,13,0,0
Paul Bunyan,Mythological Figures & Maleficent Monsters ,23,Gargantuan,Giant,N/A,0,0,1,1,15,248,30,15,21,11,16,14,7,25,0,0
Siaso,Planestrider's Journal,7,Large,Undead,N/A,0,0,0,0,15,112,10,20,15,11,11,16,3,16,0,0
Vampire Spawn,Monstrous Menagerie,4,Medium,Undead,N/A,0,0,0,0,15,76,18,16,18,10,14,14,2,14,0,0
Askwise Keeper,Gate Pass Gazette #1,0.25,Tiny,Fey,N/A,0,0,0,0,15,2,2,20,10,10,12,14,2,15,0,Pixie
Deep Gnome Scout,Monstrous Menagerie,0.5,Medium,Humanoid,N/A,0,0,1,0,15,19,10,16,14,10,14,10,2,13,0,Scout
Dragoon,Gate Pass Gazette #26,1,Medium,Humanoid,N/A,0,0,0,0,15,22,11,14,10,10,13,12,2,12,0,Mounted Pistoleer
Festung Psychic Elemental,To Save A Kingdom,N/A,Small,Elemental,N/A,0,0,0,0,15,40,12,12,15,10,10,6,3,12,0,0
Fomorian,Monstrous Menagerie,8,Huge,Fey,N/A,0,1,0,0,15,138,20,10,20,10,14,18,3,16,0,0
Forest Gnome Scout,Monstrous Menagerie,0.5,Medium,Humanoid,N/A,0,0,1,0,15,19,10,16,14,10,14,10,2,13,0,Scout
Frost Giant,Monstrous Menagerie,9,Huge,Giant,N/A,0,0,0,0,15,138,22,8,20,10,10,12,4,18,1,0
Frost Giant Jarl,Monstrous Menagerie,12,Huge,Giant,N/A,0,0,0,0,15,184,22,8,20,10,10,12,4,18,0,Frost Giant
Guard,Monstrous Menagerie,0.25,Medium,Humanoid,N/A,0,0,1,0,15,11,10,12,12,10,10,10,2,11,1,0
High Elf Noble,Monstrous Menagerie,0.25,Medium,Humanoid,N/A,0,0,1,0,15,13,10,12,10,10,12,14,2,11,0,Noble
Bugbear Chief,Monstrous Menagerie,4,Medium,Humanoid,N/A,0,0,0,0,15,71,18,14,14,10,12,10,2,14,0,0
Fogborn Wight,Monstrous Menagerie,3,Medium,Undead,N/A,0,0,0,0,15,45,14,14,16,10,12,14,2,12,0,Wight
Kech,Monstrous Menagerie,1,Medium,Humanoid,N/A,0,0,0,0,15,71,18,14,14,10,12,10,2,14,0,Bugbear
Improved Spirit Soldier,To Save A Kingdom,2,Large,Celestial,N/A,0,0,0,0,15,37,17,15,15,10,14,11,2,13,0,0
Lizardfolk Chosen One,Monstrous Menagerie,4,Medium,Humanoid,N/A,0,0,0,0,15,75,16,12,16,10,12,14,2,13,0,0
Knight of the Heart,Planestrider's Journal,5,Medium,Monstrosity,N/A,0,0,0,0,15,93,18,15,18,10,9,16,3,15,0,0
Noble,Monstrous Menagerie,0.25,Medium,Humanoid,N/A,0,0,1,0,15,13,10,12,10,10,12,14,2,11,1,0
Loch Ness Monster,Mythological Figures & Maleficent Monsters ,6,Huge,Beast,N/A,0,0,1,1,15,95,20,16,17,10,13,5,3,16,0,0
Pixie,Monstrous Menagerie,0.25,Tiny,Fey,N/A,0,0,0,0,15,2,2,20,10,10,12,14,2,15,1,0
Wight,Monstrous Menagerie,3,Medium,Undead,N/A,0,0,0,0,15,45,14,14,16,10,12,14,2,12,1,0
Mounted Gunslinger,Gate Pass Gazette #26,2,Medium,Humanoid,N/A,0,0,0,0,15,36,11,16,10,10,13,12,2,13,0,Mounted Pistoleer
Mounted Pistoleer,Gate Pass Gazette #26,1,Medium,Humanoid,N/A,0,0,0,0,15,22,11,14,10,10,13,12,2,12,3,0
Salamander Noble,Monstrous Menagerie,8,Huge,Elemental,N/A,0,0,0,0,15,136,18,14,14,10,10,12,3,15,0,Salamander
Scout,Monstrous Menagerie,0.5,Medium,Humanoid,N/A,0,0,1,0,15,19,10,16,14,10,14,10,2,13,3,0
Stout Halfling Guard,Monstrous Menagerie,0.25,Small,Humanoid,N/A,0,0,1,0,15,11,10,12,12,10,10,10,2,11,0,Guard
Wood Elf Scout,Monstrous Menagerie,0.5,Medium,Humanoid,N/A,0,0,1,0,15,19,10,16,14,10,14,10,2,13,0,Scout
Scourge of Corpse Flies,Gate Pass Gazette #4,6,Medium,Monstrosity,N/A,0,0,0,0,15,105,12,18,16,10,8,8,3,15,0,0
Gnoll Demonfang,Monstrous Menagerie,4,Medium,Humanoid,Fiend,0,0,0,0,15,65,16,16,14,10,10,12,2,13,0,0
Shadow Elf Soldier,To Save A Kingdom,4,Medium,Humanoid,N/A,0,0,0,0,15,45,14,14,11,10,12,10,2,12,0,0
Guard Squad,Monstrous Menagerie,3,Large,Humanoid,N/A,0,0,1,0,15,55,10,12,12,10,10,10,2,11,0,0
Shadow Hound Killer,Adventures in Zeitgeist,5,Medium,Humanoid,N/A,0,0,0,0,15,75,13,20,16,10,11,13,3,16,0,0
Merfolk Knight,Monstrous Menagerie,3,Medium,Humanoid,N/A,0,0,0,0,15,52,16,12,14,10,10,14,2,13,0,0
Salamander,Monstrous Menagerie,6,Large,Elemental,N/A,0,0,0,0,15,90,18,14,14,10,10,12,3,15,1,0
Scorpionfolk,Monstrous Menagerie,3,Large,Monstrosity,N/A,0,0,0,0,15,52,14,12,14,10,10,10,2,12,1,0
Feral Giant,To Save A Kingdom,10,Huge,Giant,N/A,0,0,0,0,15,105,23,13,19,9,5,6,4,18,0,0
Knútadraugr,Planestrider's Journal,2,Medium,Undead,N/A,0,0,0,0,15,52,14,14,15,9,8,5,2,12,0,0
Drainpipe Gargoyle,Monstrous Menagerie,2,Medium,Elemental,N/A,0,0,0,0,15,45,14,10,16,8,14,8,2,12,0,Gargoyle
Gargoyle,Monstrous Menagerie,2,Medium,Elemental,N/A,0,0,0,0,15,45,14,10,16,8,14,8,2,12,2,0
Oculite,Dungeon Delver's Guide,2,Small,Aberration,N/A,0,0,0,0,15,49,6,14,12,8,14,14,2,12,0,0
Vrock,Monstrous Menagerie,6,Large,Fiend,N/A,0,0,0,0,15,104,16,16,18,8,14,10,3,14,0,0
Building Mimic,Planestrider's Journal,9,Gargantuan,Monstrosity,N/A,0,0,0,0,15,202,20,10,16,8,16,12,4,17,0,0
Corpse Fly,Gate Pass Gazette #4,1,Tiny,Monstrosity,N/A,0,0,0,0,15,22,8,14,13,8,8,8,2,12,0,0
Dread Troll,Monstrous Menagerie,7,Large,Giant,N/A,0,0,0,0,15,105,18,12,20,8,12,8,3,15,0,Troll
Faerie Eater Troll,Monstrous Menagerie,6,Large,Giant,N/A,0,0,0,0,15,84,18,12,20,8,12,8,3,15,0,Troll
Scrag,Monstrous Menagerie,5,Large,Giant,N/A,0,0,0,0,15,84,18,12,20,8,12,8,3,15,0,Troll
Troll,Monstrous Menagerie,5,Large,Giant,N/A,0,0,0,0,15,84,18,12,20,8,12,8,3,15,6,0
Greater Mimic,Planestrider's Journal,6,Large,Monstrosity,N/A,0,0,0,0,15,110,18,12,16,8,13,8,3,15,0,0
Kobold Hunter,To Save A Kingdom,1,Small,Humanoid,N/A,0,0,0,0,15,28,8,16,13,8,11,9,2,13,0,0
Puny Troll,To Save A Kingdom,3,Large,Giant,N/A,0,0,0,0,15,42,18,12,20,8,12,8,2,14,0,0
Rhinam Guardian,Gate Pass Gazette #11,4,Medium,Elemental,N/A,0,0,0,0,15,67,16,10,16,8,14,8,2,13,0,Gargoyle
Troll Elder,To Save A Kingdom,6,Large,Giant,N/A,0,0,0,0,15,94,18,12,20,8,12,8,3,15,0,0
Skeletal Immortal,Dungeon Delver's Guide,1,Medium,Undead,N/A,0,0,0,0,15,19,14,16,14,8,8,5,2,13,0,0
Cerberus,Mythological Figures & Maleficent Monsters ,9,Huge,Monstrosity,N/A,0,0,1,1,15,152,22,15,17,7,12,10,4,18,0,0
Vampire Spawn Ogre,To Save A Kingdom,6,Large,Undead,N/A,0,0,0,0,15,102,20,14,16,7,9,11,3,16,0,0
Black Shuck,Mythological Figures & Maleficent Monsters ,8,Large,Fey,N/A,0,0,1,1,15,97,18,17,19,6,18,14,3,15,0,0
Fiendbloom Hell Hound,Monstrous Menagerie,3,Medium,Fiend,Plant,0,0,0,0,15,52,16,14,16,6,12,8,2,13,0,Hell Hound
Hell Hound,Monstrous Menagerie,3,Medium,Fiend,N/A,0,0,0,0,15,52,16,14,16,6,12,8,2,13,1,0
Sewer Walker,Gate Pass Gazette #1,6,Large,Plant,N/A,0,0,0,0,15,123,18,10,18,6,12,6,3,15,0,Shambling Mound
Shambling Mound,Monstrous Menagerie,6,Large,Plant,N/A,0,0,0,0,15,123,18,10,18,6,12,6,3,15,1,0
Geode Spider,Planestrider's Journal,7,Small,Elemental,N/A,0,0,0,0,15,153,19,12,20,6,13,7,3,15,0,0
Íssax,To Save A Kingdom,6,Large,Elemental,N/A,0,0,0,0,15,114,17,16,18,6,15,6,3,14,0,0
Littoral Spider,Planestrider's Journal,5,Small,Elemental,N/A,0,0,0,0,15,91,20,14,17,6,13,7,3,16,0,0
Fogborn Skeletal Champion,Monstrous Menagerie,3,Medium,Undead,N/A,0,0,0,0,15,58,16,16,14,6,8,5,2,13,0,Skeletal Champion
Skeletal Champion,Monstrous Menagerie,3,Medium,Undead,N/A,0,0,0,0,15,58,16,16,14,6,8,5,2,13,1,0
Ran's Cachean Elephant,Adventures in Zeitgeist,6,Huge,Monstrosity,N/A,0,0,0,0,15,119,23,9,16,5,11,6,3,17,0,0
Spyskull,Gate Pass Gazette #6,1,Tiny,Undead,N/A,0,0,0,0,15,27,7,18,15,5,14,8,2,14,0,0
Unraveled,Planestrider's Journal,8,Large,Undead,N/A,0,0,0,0,15,120,23,14,15,5,6,4,3,17,0,0
Wild Troll,Monstrous Menagerie,5,Large,Giant,N/A,0,0,0,0,15,84,18,12,20,4,12,8,3,15,0,Troll
Malice Rager,Adventures in Zeitgeist,3,Large,Aberration,N/A,0,0,0,0,15,88,18,13,14,4,12,6,2,14,0,0
Infernal Mammoth,To Save A Kingdom,5,Huge,Undead,N/A,0,0,0,0,15,104,22,9,17,3,11,6,3,17,0,0
Roc,Monstrous Menagerie,13,Gargantuan,Beast,N/A,0,0,0,0,15,232,28,10,20,3,12,8,5,22,0,0
Hound Guardian,Monstrous Menagerie,1,Medium,Construct,N/A,0,0,0,0,15,32,16,10,14,2,12,6,2,13,0,0
Basilisk,Monstrous Menagerie,3,Medium,Monstrosity,N/A,0,0,0,0,15,52,14,8,16,2,10,8,2,12,0,0
Ravel Larva,Planestrider's Journal,1,Tiny,Aberration,N/A,0,0,0,0,15,36,7,20,14,2,15,5,2,15,0,0
Rust Monster,Monstrous Menagerie,0.5,Medium,Monstrosity,N/A,0,0,0,0,15,27,12,12,12,2,12,6,2,11,0,0
Giant Scorpion,Monstrous Menagerie,3,Large,Beast,N/A,0,0,0,0,15,52,14,12,14,2,8,4,2,12,0,0
Dead Man’s Fingers,Monstrous Menagerie,10,Medium,Plant,N/A,0,0,0,0,15,190,20,10,20,1,12,1,4,17,0,0
Giant Crab,Monstrous Menagerie,0.25,Medium,Beast,N/A,0,0,0,0,15,9,12,14,10,1,8,4,2,12,1,0
Lance Crab,Gate Pass Gazette #5,1,Medium,Beast,N/A,0,0,0,0,15,32,12,14,10,1,8,4,2,12,0,Giant Crab
Psionic Brain,Planestrider's Journal,7,Large,Aberration,N/A,0,0,0,0,14,114,7,17,16,21,16,14,3,14,0,0
Daedalus,Mythological Figures & Maleficent Monsters ,5,Medium,Humanoid,N/A,0,0,1,1,14,90,14,15,10,20,14,8,3,13,0,0
Alchemist,Monstrous Menagerie,6,Medium,Humanoid,N/A,0,0,1,0,14,91,11,16,14,19,14,13,3,14,1,0
Cosmopolitan Alchemist,Monstrous Menagerie,6,Medium,Humanoid,N/A,0,0,1,0,14,91,11,16,14,19,14,13,3,14,0,Alchemist
Dr. Jekyll,Mythological Figures & Maleficent Monsters ,2,Medium,Humanoid,N/A,0,0,1,1,14,28,9,14,12,18,13,15,2,12,0,0
Warmonger,To Save A Kingdom,6,Large,Fiend,N/A,0,0,0,0,14,76,20,17,18,18,17,15,3,16,0,0
Brainling,Planestrider's Journal,3,Medium,Aberration,N/A,0,0,0,0,14,77,14,16,13,17,14,15,2,13,0,0
Dorian Gray,Mythological Figures & Maleficent Monsters ,7,Medium,Humanoid,N/A,0,0,1,1,14,85,13,18,19,17,14,20,3,15,0,0
Gidim Scout,Planestrider's Journal,5,Medium,Aberration,N/A,0,0,0,0,14,63,10,17,10,17,13,12,3,14,0,0
Corrupted Unicorn,Monstrous Menagerie,5,Large,Celestial,Fey,0,0,0,0,14,85,20,18,18,16,20,20,3,16,0,Unicorn
Unicorn,Monstrous Menagerie,5,Large,Celestial,Fey,0,0,0,0,14,85,20,18,18,16,20,20,3,16,1,0
Douban,Mythological Figures & Maleficent Monsters ,2,Medium,Humanoid,N/A,0,0,1,1,14,36,9,14,11,16,16,13,2,12,0,0
Intellect Devourer,Monstrous Menagerie,3,Tiny,Aberration,N/A,0,0,0,0,14,36,6,16,14,16,14,14,2,13,0,0
Malcubus,Monstrous Menagerie,4,Medium,Fiend,N/A,0,0,0,0,14,78,10,16,14,14,16,20,2,13,0,0
Sprite,Monstrous Menagerie,0.25,Tiny,Fey,N/A,0,0,0,0,14,2,2,18,10,14,12,10,2,14,0,0
Aboleth Champion,Dungeon Delver's Guide,7,Medium,Humanoid,N/A,0,0,0,0,14,135,18,12,16,14,14,16,3,15,0,0
Coven Green Hag,Monstrous Menagerie,5,Medium,Fey,N/A,0,0,0,0,14,97,16,14,14,14,14,16,3,14,0,Green Hag
Invisible Man,Mythological Figures & Maleficent Monsters ,4,Medium,Humanoid,N/A,0,0,1,1,14,55,13,18,12,14,11,10,2,14,0,0
Green Hag,Monstrous Menagerie,3,Medium,Fey,N/A,0,0,0,0,14,71,16,14,14,14,14,16,2,13,1,0
Witch,The Business of Emotion,2,Medium,Humanoid,N/A,0,0,1,0,14,38,18,13,17,13,14,15,2,14,0,0
Aladdin,Mythological Figures & Maleficent Monsters ,4,Medium,Humanoid,N/A,0,0,1,1,14,52,11,16,14,12,15,14,2,13,0,0
Atalanta,Mythological Figures & Maleficent Monsters ,5,Medium,Humanoid,N/A,0,0,1,1,14,65,14,18,14,12,14,10,3,15,0,0
Bay Witch,Gate Pass Gazette #5,2,Medium,Fey,N/A,0,0,0,0,14,52,16,12,16,12,12,16,2,13,0,Sea Hag
Blastfire Crewmate,Gate Pass Gazette #17,3,Medium,Humanoid,N/A,0,0,1,0,14,60,14,15,16,12,11,11,2,12,0,0
Priest,Monstrous Menagerie,2,Medium,Humanoid,N/A,0,0,1,0,14,32,12,10,14,12,16,12,2,11,2,0
Warhordling Orc Eye,Monstrous Menagerie,2,Medium,Humanoid,N/A,0,0,1,0,14,32,12,10,14,12,16,12,2,11,0,Priest
Cloud Giant,Monstrous Menagerie,10,Huge,Giant,N/A,0,0,0,0,14,187,27,10,22,12,16,16,4,20,1,0
Devil Dwarf,To Save A Kingdom,2,Medium,Fiend,N/A,0,0,0,0,14,44,14,10,13,12,10,11,2,12,0,0
Cloud Giant Noble,Monstrous Menagerie,12,Huge,Giant,N/A,0,0,0,0,14,187,27,10,22,12,16,16,4,20,0,Cloud Giant
Medusa,Monstrous Menagerie,7,Medium,Monstrosity,N/A,0,0,0,0,14,120,12,18,16,12,14,14,3,15,1,0
Scarecrow Harvester,Monstrous Menagerie,4,Medium,Construct,Undead,0,0,0,0,14,67,16,18,16,12,14,16,2,14,0,0
Medusa Queen,Monstrous Menagerie,11,Medium,Monstrosity,N/A,0,1,0,0,14,153,12,18,16,12,14,14,4,16,0,Medusa
Nilbog,Presents for Goblins,0.5,Small,Humanoid,N/A,0,0,0,0,14,14,12,8,10,12,14,10,2,11,0,0
Peter Pan,Mythological Figures & Maleficent Monsters ,8,Small,Fey,N/A,0,0,1,1,14,130,9,19,17,12,14,18,3,15,0,0
Coven Sea Hag,Monstrous Menagerie,4,Medium,Fey,N/A,0,0,0,0,14,75,16,12,16,12,12,16,2,13,0,Sea Hag
Tragedian Actor,Planestrider's Journal,2,Medium,Humanoid,N/A,0,0,0,0,14,38,11,14,13,12,10,17,2,12,0,0
Sea Hag,Monstrous Menagerie,2,Medium,Fey,N/A,0,0,0,0,14,52,16,12,16,12,12,16,2,13,2,0
Bubear Door Breaker,Gate Pass Gazette #26,3,Medium,Humanoid,N/A,0,0,0,0,14,60,17,10,15,11,10,8,2,13,0,Door Breaker
Door Breaker,Gate Pass Gazette #26,3,Medium,Humanoid,N/A,0,0,0,0,14,60,17,10,15,11,10,8,2,13,1,0
Cultist Excecrator,Dungeon Delver's Guide,6,Medium,Humanoid,N/A,0,0,1,0,14,102,16,14,18,10,18,14,3,14,0,0
Antaeus,Mythological Figures & Maleficent Monsters ,4,Medium,Giant,N/A,0,0,1,1,14,57,20,14,20,10,10,12,2,15,0,0
Minotaur,Monstrous Menagerie,4,Large,Monstrosity,N/A,0,0,0,0,14,76,18,10,16,10,16,10,2,14,0,0
Doppelganger,Monstrous Menagerie,3,Medium,Monstrosity,N/A,0,0,0,0,14,52,10,18,14,10,14,16,2,14,0,0
Hill Dwarf Wrestler,Monstrous Menagerie,4,Medium,Humanoid,N/A,0,0,1,0,14,75,16,14,16,10,14,10,2,13,0,Pugilist
Invisible Stalker,Monstrous Menagerie,6,Medium,Elemental,N/A,0,0,0,0,14,104,16,18,14,10,14,10,3,15,1,0
Pugilist,Monstrous Menagerie,4,Medium,Humanoid,N/A,0,0,1,0,14,75,16,14,16,10,14,10,2,13,1,0
Black Talon Devotee,To Save A Kingdom,2,Large,Beast,N/A,0,0,0,0,14,39,14,16,12,10,15,9,2,13,0,0
Black Talon Spider,To Save A Kingdom,1,Large,Beast,N/A,0,0,0,0,14,32,14,16,12,10,10,8,2,13,0,0
Cannibal Reaver,Monstrous Menagerie,0.5,Medium,Fiend,N/A,0,0,0,0,14,22,14,12,10,10,8,10,2,12,0,Gnoll
Elite Pirate,To Save A Kingdom,1,Medium,#N/A,N/A,1,0,1,0,14,32,16,12,14,10,10,10,2,13,0,0
Elite Pirate Unit,To Save A Kingdom,6,Large,Humanoid,N/A,1,0,1,0,14,160,16,12,14,10,10,10,3,14,0,0
Gnoll,Monstrous Menagerie,0.5,Medium,Humanoid,Fiend,0,0,0,0,14,22,14,12,10,10,8,10,2,12,2,0
Lizardfolk,Monstrous Menagerie,0.5,Medium,Humanoid,N/A,0,0,0,0,14,22,14,12,12,10,10,8,2,12,1,0
Motleywarrior,To Save A Kingdom,1,Medium,Humanoid,N/A,0,0,0,0,14,39,15,14,14,10,15,11,2,12,0,0
Notturna,Adventures in Zeitgeist,0.25,Tiny,Fey,N/A,0,1,0,0,14,2,2,18,10,10,14,15,2,14,0,0
Rime Ant Queen,Gate Pass Gazette #11,4,Huge,Monstrosity,N/A,0,0,0,0,14,68,16,10,14,10,18,8,2,13,0,Ankheg
Spring-Heeled Jack,To Save A Kingdom,3,Small,Fey,N/A,0,0,0,1,14,33,13,17,12,10,8,13,2,13,0,0
Lizardfolk Druid,Monstrous Menagerie,2,Medium,Humanoid,N/A,0,0,0,0,14,22,14,12,12,10,10,8,2,12,0,Lizardfolk
Thug,Monstrous Menagerie,1,Medium,Humanoid,N/A,0,0,1,0,14,32,16,12,14,10,10,10,2,13,0,0
Gnoll Pack Leader,Monstrous Menagerie,2,Medium,Humanoid,Fiend,0,0,0,0,14,45,14,12,10,10,8,10,2,12,0,Gnoll
Stuffed Crab,Gate Pass Gazette #2,6,Huge,Undead,N/A,0,0,0,0,14,104,20,4,10,10,1,8,3,16,0,0
Caliban,Mythological Figures & Maleficent Monsters ,2,Medium,Humanoid,N/A,0,0,1,1,14,45,15,18,16,9,15,8,2,14,0,0
Adamanticore,Gate Pass Gazette #3,3,Large,Monstrosity,N/A,0,0,0,0,14,85,16,14,16,8,12,8,2,13,0,Manticore
Canicore,Gate Pass Gazette #3,2,Large,Monstrosity,N/A,0,0,0,0,14,51,16,14,16,8,12,8,2,13,0,Manticore
Manticore,Monstrous Menagerie,3,Large,Monstrosity,N/A,0,0,0,0,14,68,16,14,16,8,12,8,2,13,2,0
Mr. Hyde,Mythological Figures & Maleficent Monsters ,8,Medium,Humanoid,N/A,0,0,1,1,14,80,23,15,22,8,13,12,3,17,0,0
Magmin,Monstrous Menagerie,0.5,Small,Elemental,N/A,0,0,0,0,14,14,8,14,10,8,10,10,2,12,0,0
Salamander Nymph,Monstrous Menagerie,1,Medium,Elemental,N/A,0,0,0,0,14,27,14,14,12,8,10,8,2,12,0,0
Gourdling,Gate Pass Gazette #20,3,Medium,Plant,N/A,0,0,0,0,14,60,17,9,16,7,10,8,2,13,0,0
Jackalope,Monstrous Menagerie,3,Tiny,Beast,N/A,0,0,0,0,14,55,11,19,16,6,17,14,2,14,0,0
Blazing Spider,Planestrider's Journal,3,Small,Elemental,N/A,0,0,0,0,14,77,11,17,14,6,12,7,2,13,0,0
Blood Guardian,To Save A Kingdom,7,Medium,Construct,N/A,0,0,0,0,14,102,15,17,18,6,14,5,3,14,0,0
Cloud of Ghasthoppers,Gate Pass Gazette #24,4,Medium,Undead,N/A,0,0,0,0,14,78,2,16,14,6,14,10,2,13,0,0
Otyugh,Monstrous Menagerie,6,Large,Aberration,N/A,0,0,0,0,14,110,16,10,16,6,14,5,3,14,1,0
